timestamp,ticks_msec,fps,player_x,player_y,player_rx,player_ry,player_rz,ProximityGroup1_Townsperson1_x,ProximityGroup1_Townsperson1_y,ProximityGroup1_Townsperson1_rx,ProximityGroup1_Townsperson1_ry,ProximityGroup1_Townsperson1_rz,ProximityGroup1_Townsperson1_emotion,ProximityGroup1_Townsperson1_selection,ProximityGroup1_Townsperson1_stages,ProximityGroup1_Townsperson2_x,ProximityGroup1_Townsperson2_y,ProximityGroup1_Townsperson2_rx,ProximityGroup1_Townsperson2_ry,ProximityGroup1_Townsperson2_rz,ProximityGroup1_Townsperson2_emotion,ProximityGroup1_Townsperson2_selection,ProximityGroup1_Townsperson2_stages,ProximityGroup2_Townsperson3_x,ProximityGroup2_Townsperson3_y,ProximityGroup2_Townsperson3_rx,ProximityGroup2_Townsperson3_ry,ProximityGroup2_Townsperson3_rz,ProximityGroup2_Townsperson3_emotion,ProximityGroup2_Townsperson3_selection,ProximityGroup2_Townsperson3_stages,ProximityGroup3_Townsperson4_x,ProximityGroup3_Townsperson4_y,ProximityGroup3_Townsperson4_rx,ProximityGroup3_Townsperson4_ry,ProximityGroup3_Townsperson4_rz,ProximityGroup3_Townsperson4_emotion,ProximityGroup3_Townsperson4_selection,ProximityGroup3_Townsperson4_stages,ProximityGroup3_Townsperson5_x,ProximityGroup3_Townsperson5_y,ProximityGroup3_Townsperson5_rx,ProximityGroup3_Townsperson5_ry,ProximityGroup3_Townsperson5_rz,ProximityGroup3_Townsperson5_emotion,ProximityGroup3_Townsperson5_selection,ProximityGroup3_Townsperson5_stages,ProximityGroup4_Townsperson6_x,ProximityGroup4_Townsperson6_y,ProximityGroup4_Townsperson6_rx,ProximityGroup4_Townsperson6_ry,ProximityGroup4_Townsperson6_rz,ProximityGroup4_Townsperson6_emotion,ProximityGroup4_Townsperson6_selection,ProximityGroup4_Townsperson6_stages,ProximityGroup4_Townsperson7_x,ProximityGroup4_Townsperson7_y,ProximityGroup4_Townsperson7_rx,ProximityGroup4_Townsperson7_ry,ProximityGroup4_Townsperson7_rz,ProximityGroup4_Townsperson7_emotion,ProximityGroup4_Townsperson7_selection,ProximityGroup4_Townsperson7_stages,ProximityGroup5_Townsperson8_x,ProximityGroup5_Townsperson8_y,ProximityGroup5_Townsperson8_rx,ProximityGroup5_Townsperson8_ry,ProximityGroup5_Townsperson8_rz,ProximityGroup5_Townsperson8_emotion,ProximityGroup5_Townsperson8_selection,ProximityGroup5_Townsperson8_stages,ProximityGroup5_Townsperson9_x,ProximityGroup5_Townsperson9_y,ProximityGroup5_Townsperson9_rx,ProximityGroup5_Townsperson9_ry,ProximityGroup5_Townsperson9_rz,ProximityGroup5_Townsperson9_emotion,ProximityGroup5_Townsperson9_selection,ProximityGroup5_Townsperson9_stages,ProximityGroup6_Detective_x,ProximityGroup6_Detective_y,ProximityGroup6_Detective_rx,ProximityGroup6_Detective_ry,ProximityGroup6_Detective_rz,ProximityGroup6_Detective_emotion,ProximityGroup6_Detective_selection,ProximityGroup6_Detective_stages
1614861348,304377,38,1.12168,0.516687,-1.875154,-0.002721,87.77037,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-15.804748,1e-06,-95.150551,,,
1614861349,305394,36,1.478676,-0.029916,-1.875154,-0.002721,87.77037,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.5247,0,-95.749336,,,
1614861350,306436,32,1.578726,-0.029916,-1.875154,-0.002721,93.787354,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.568561,0,-88.234596,,,
1614861351,307525,23,1.578726,-0.029916,-1.875154,-0.002721,119.903618,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.568559,0,-88.231575,,,
1614861352,308628,15,1.578726,-0.029916,-1.875154,-0.002721,123.456184,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.56856,0,-88.231575,,,
1614861353,309599,11,1.578726,-0.029916,-1.875154,-0.002721,129.729202,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.568559,0,-88.231575,,,
1614861354,310581,25,1.578726,-0.029916,-1.875154,-0.002721,129.729202,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.56856,0,-88.231575,,,
1614861355,311594,25,1.578726,-0.029916,-1.875154,-0.002721,129.729202,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.56856,0,-88.231575,,,
1614861356,312578,25,1.578726,-0.029916,-1.875154,-0.002721,129.729202,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.568559,0,-88.231575,,,
1614861357,313578,24,1.578726,-0.029916,-1.875154,-0.002721,129.729202,-5.24468,-0.072671,-0.664505,-179.942688,161.742249,,,,-5.84049,-0.045,0.322689,0.057297,44.027924,,,,-0.181421,0.002883,0,0,-75.826973,,,,7.398,-0.026153,0,0,-154.475952,,,,7.517,-0.017717,0,0,-5.723951,,,,-7.05784,-0.007,0,0,101.246994,,,,-6.59268,-0.059,0,0,-173.788086,,,,-7.444,-0.045,0,0,125.284988,,,,-7.18826,-0.009585,0,0,30.744946,,,,3.098,-0.045,-0.56856,0,-88.231575,,,
